intents/tag,intents/patterns/0,intents/patterns/1,intents/patterns/2,intents/patterns/3,intents/patterns/4,intents/patterns/5,intents/patterns/6,intents/resonses/0,intents/resonses/1,intents/resonses/2,intents/patterns/7,intents/patterns/8,intents/patterns/9,intents/patterns/10,intents/patterns/11,intents/patterns/12,intents/patterns/13,intents/patterns/14
greetings,hello,hey,hi,good day,greetings,what's up?,how is it going,Hello! How are you today!,Hey! What's up,"Hey, How are you feeling today",,,,,,,,
goodbye,cya,see you later,goodbye,Have a good day,bye,I am leaving,,Talk to you later!,Bye!,Goodbye!,,,,,,,,
self-esteem-A,How do I cope with 'never being good enough?',I'm always told I'm not good enough or trying hard enough.,I put my all in to every thing.,"I'm worn out, I've worked on all of my family relationships, I'm doing great in school, I'm kind to those in need and otherwise. I stick to my religious beliefs and leave room for mistakes and learn from others so I don't have to make as many and the ones I do I learn from.","Somehow it's still not good enough and nothing I do works. Nothing has changed, and I feel hopeless. Any suggestions or ideas?",I feel like I failed myself,I Sometimes I feel like I hate myself,"A lot of times, these feelings are the result of the people in your life treating you a certain way. You internalize it and accept it as your reality. Do you feel something like this might have happened to you?","I'm glad that you are reaching out for help. What you are experiencing is common for people who have experienced abuse, neglect, or other forms of trauma. When people experience trauma they develop a feeling of shame and start becoming self critical. Therapy can help regulate these thoughts and feelings of abandonment so they are not so overwhelming. Negative self talk can be extremely exhausting. Do you feel something might have occured in your past leading to this?","Hello. It sounds to me like you are carrying an enormous amount of emotional weight. First and foremost, cut yourself some slack. No one is perfect. We fail more often than we succeed, but in the end we learn, and that learning helps us grow",I feel like I hate myself physically and emotionally sometimes.,How can I start accepting myself and be more confident?,Why am I starting to not like myself?,"For the past year, I have been feeling pressured to do well in school, and it put a ton of stress on me","I have been bullied for five years for taking stress, it is now sinking in, and I can't stop it. For some other reason, I can't find a hobby I can see myself doing without thinking bad about myself",Why do I feel like I can never meet people's expectations?,Why am I so nervous talking to people?,I feel like I failed myself
self-esteem-B,How can I feel less self-conscious about my weight?,"I'm a teenage girl, and I feel very bad about my weight. I don't know how to make it stop.",I am very self conscious about my body,On the first day of school I wore a bra that was too big so that it would look like I had bigger boobs. I did that the whole school year and my parents never found out. But now I can never hang out with my friends at my house or invite them over because it would be around my parents and my friends would see there is nothing there on my chest.,I hate the way I look,I hate everything I see in the mirror. I don't like being in pictures and always scribble out my face. It's stressing me out. I don't trust my parents enough to tell them and I don't know what to do.,How come I feel ugly?,Have you spoken to your health care provider about your situation? You may not have a medical issue. Â  A lot of times we try to have the 'perfect' body when in reality we try to live up to social standards.,"I also want to note that we, as a society, are especially judgemental about how people present themselves. Do you have anything specific in mind which could've led to this?","I get how you feel; you wish your body looked different and you're embarrassed that you may tried to make it look different and people may notice, has any specific incident led to this?","I'm in my early 20s. I've been married once, and he cheated on me. Ever since then, I've felt ugly no matter what. I'm engaged, and I still feel ugly. I don't like to take pictures of myself.",,,,,,,
relationship-b,Why do I feel like I always need to be in a relationship?,"I have suffered many things at home and school. We never went to the doctor to diagnose depression or anything like that, but I always feel like a part of my heart is missing. I try to fill it in with objects or, in this case, a woman.",How come no man sparks my interest?,"I was never single, afraid to be alone, and I looked for my boyfriend to make me happy. I finally worked on my self, was in a relationship, and I did everything a healthy girlfriend does and it didn't work out. Now months later, no man peaks my interest. Am I ready to date again? Is there a reason no one sparks my interest?",Why is it hard for me to express myself?,I don't know how to tell someone how I feel about them. How can I get better at expressing how I feel?,I feel like I can't control having inappropriate thoughts,"Although we can have moments when we feel alone, even with the presence of family and friends, feeling alone most of the time could be a sign that there is a lack of connection between you and your loved ones. Generally, the lack of connection can occur when you don't feel heard, understood or valued. These are common emotional needs that result in a good and secure emotional connection that reduces feelings of loneliness. Would you say it's accurate to say so.",Attention is often something that is both wanted and sometimes not wanted all the time. Sometimes it's best to think clearly what is required by you in current time in life.,"The best approach may be to take time to get yourself together, mature, learn, outside of a intimate relationship, does something similar also bother you?","I find that I imagine things sexually, and I hate it because it puts strain on my relationship. I feel helpless and guilty. I want it to go away, and I want to make my woman happy again.",I feel like I could never be with anyone because no one would want me,What do I do if I have been feeling like I could never be with anyone because no one would want me. Or I couldn't have many friends because of who I am. It's strange I want to be loved but I'd hate to be because I always lose.,,,,,
relationship-a,Why does my boyfriend threaten to leave every night?,"My boyfriend is always saying he's done with me and says he's leaving, but then at the end of the night, he's still here. He wakes up in the morning, acts like nothing happen, and repeats this every night.",I'm scared of losing my girlfriend,My girlfriend recently started hanging out a lot more with one of her friends who did her wrong in the past and just walked out on her. So for the past 3 years its been just me and my girlfriend. Things have been great up until the last month. Now she ignores me and texts and hangs oit with her friend more and more. I dont know what to do anymore. My girlfriend is so distant. How do I keep from losing her?,Why do I keep getting with men that emotionally abuse me?,I'm having a lot of conflict in my relationship,We do communicate but one of us has trouble accepting what the other person says. How can I fix things?,"Often, communication is the key within relationships. When faced with our significant other telling us about a â€œcrushâ€, it can create or highlight feelings or thoughts that can promote feelings of insecurity.",Love is not enough to keep a relationship together.The people need to get along happily too.Let's start with knowing more about your happiness in being with your partner,"I'm truly sorry to hear that your relationship is causing you such distress at this time. When we are in relationships, trust is so integral to our satisfaction within the relationship. Often, when we feel we are required to prove ourselves, feelings of resentment can replace those feelings of wanting to be supportive.In situations like this, I would recommend being open and honest in your communication.",,,,,,,,
angermanagement-a,How can I control myself and my anger?,I snap easy and push people away. I need help before I push my boyfriend away.,How can I control my temper?,I get angry and act out. It scares my wife and child.,How can I just be happy and not mad all the time?,I get really mad easily at my parents and family.,My long-term girlfriend broke up with me recently. She says it's because of my anger.,"Sometimes we react to situations immediately, without thinking of the consequences of our actions. Typically by not reacting right away, we are better able to gather our thoughts, see the situation more clearly and from other perspectives, and respond more calmly. One of the strategies that almost always helps is deep breathing. When faced with a stressful situation, you can give yourself a time out by removing yourself from the stress and spend 5 minutes taking deep breaths (breathe in slowly counting to 4 and breathe out even slower counting to 6), while focusing and thinking  only about your breathing. After doing so, think of the various ways you can respond to the situation and choose the one most appropriate.",Are you facing any type of overwhelming situation in your life? which may lead to smething like this?,"Anyone who asks whether or not they have a problem, usually feels at least partly, that they do have a problem.Your answer to the question is what matters.Since you already understand that your reaction is overstated to the events which trigger them, the reactions you're having are more than likely anger that is leftover from past events, either in the near or distant past.Be aware, consider, reflect on Â how you usually handle feeling angry. Â Based on your description here, it is quite likely that the anger you show toward what you call 'little things' reflect anger at much bigger matters that are uncomfortable and not easy to understand.Knowing more about the more significant matters causing frustration for you, may very likely decrease reacting angrily toward smaller matters.","I been having anger problems a lot lately. It only takes one word wrongly said to set me off. I use to not be like this until I got with my soon-to-be husband. I think his mood and rage/anger problems have rubbed off on me a lot. I don't get nearly as bad as he does, but I yell almost constantly and I can't seem to just stop. I have two young babies that have to hear this, and I don't want my girls growing up with a mommy like I have been lately. I just don't know how to get back to my old self.","i need answers to my angry, possessiveness, and urges","Whenever I run into a situation that makes me upset or angry, I tend to start cursing and badly offending the person I am confronting. I say mean things to let my anger out. Whenever people tell me stuff about my relationship (like starting rumors or saying negative things about me or my relationship) I lash out not just them but at my boyfriend. I feel like I keep causing drama due to my personality. I want to be a better person and learn to let things not get to me and be happy and graceful. I hurt the ones I love with my words. I want to be better for myself and them.","Sometime when small thing happen, like losing a comb, I get furious. I even start throwing things. Do I have a problem?",,,,
angermanagement-b,We're in an eight year relationship. My boyfriend drinks a lot. He experienced childhood trauma. I don't know how to deal with violent outbursts.,My husband and I cant talk to each other without arguing,"Every time I speak, he says I anger him. Also, when heâ€™s mad at something, like work, he gets angry at me. I feel like weâ€™re so distant from each other now. We used to laugh all the time, and I feel like he lets too much negativity in. What should I do? We've been married for two years but together for seven.",How can I help my boyfriend's anger issues?,"I have an emotionally abusive relationship. We have been together for a year and a half. He got out of prison exactly a year ago and a half ago, and we have a infant. I love my boyfriend, and I don't want to leave without fighting for this first. He's an emotionally disconnected person. We never say â€œI love youâ€ to each other. Every fight is worse than the last one, and I don't know what to do. He doesn't let me speak because he's louder than me, and that makes me feel frustrated. I have another problem: English is my second language. I pay half of the bills, and every time I want to speak to him, he kicks me out of the house. He apologizes sometimes. I feel like I'm the only one fighting for this. He agreed to have counseling.",Why did my boyfriend hit himself in the face during an argument?,"When I got home, my boyfriend and I got into an argument. He got upset and he started hitting his face. That is the first time he has ever done that, but I would be lying if I said that didn't scare me. I locked myself in the room.","A lot of times the anger someone expresses is from feeling a deep level hurt within themselves.A surface situation, like, a store told you they'd have delivery of a certain item by Tuesday, and when that particular Tuesday comes, the store doesn't have what they told you they would, and you are furious.The fury may have more with many times before in your life, having been deeply let down by someone who mattered to your life at the time, who similarly promised something and failed to deliver whatever it is. Do you think it might be related to something like this?","It sounds to me like they are going through something, and I think you understand that. You might feel very helpless, sad, and disrespected at the same time. You can let him know when you feel disrespected, and what's not okay with you","First, let me extend my compassion to both of you,it sounds like you have a lot on your plates. Childhood trauma and past negative effects may lead to situations like this, do you hav something like this in mind which may have happened?",,,,,,,,
domesticviolence,How do I get my partner to stop verbally abusing me?,"Every time my partner gets angry for anything, she takes it out on me. Nothing I do is right, and once she's mad, she calls me all kinds of names and is verbally abusive. She says it isnâ€™t abuse, itâ€™s just angry verbal bashing, and that itâ€™s different. It gets worse each time. The names are very vulgar now.","He is verbally abusive. When he gets mad, he just yells at me. At times, I feel scared.",How do I overcome the nightmare from the domestic violence of a past relationship?,"I am a survivor of domestic violence from a past relationship. Even after seven years, I still have horrible nightmares. I wake up in sweat, and the dreams feel so real.",How do I get out of an abusive relationship?,"I've been with my boyfriend over 3 years. He cheated on me and the woman is now pregnant. He is physically and mentally abusive towards me. I have attempted to talk with him in order to resolve our issues; however, he never wants to talk and often blames me for everything. Iâ€™m always there when he needs my help. He tells me although I help him doesnâ€™t mean that I am a good person. He always discredits me as a woman and itâ€™s hurtful. I spend most day crying and feeling lonely. I am unhappy and unsure of what I need to do.",I'm glad that you are reaching out for help. What you are going though sounds overwhelming and exhausting. One thing you could try is to them your partner when they're not angry about other things to talk about,"It sounds like you are in a tough situation. You have to ask yourself why you don't want to leave them. Is it because of other reasons? Or is it because you want the relationship to work? You must consider that being in an abusive relationship is not healthy for anyone. So if the abuse continues, it would be more beneficial for you to move out.On the other hand, if you are just wanting the relationship to work out despite its current state, you need to evaluate whether the relationship is worth salvaging.","Firstly, here, changes need to be made quickly. Taking control of your emotions needs to happen sooner than later. If left unresolved, it will follow you into any relationship you have.aling with your emotions.",I endured sexual and physical abuse by my brother as child,,,,,,,
griefandloss,I just lost my grandpa,I loved him more than anything. He passed away on our anniversary which was also the day I was going to apply for our apartment. I'm not handling it well. I moved to a new town and started a new life but nothing helps.,My grandma and brother both passed away 11 years ago and sometimes at night I just can't stop crying while thinking about the good memories we had but won't have ever again. I can't sleep at night when the memories and tears come I'll be fine all day then at night...boom! it's like waterfalls from my eyes. Why can't I stop crying?,"I lost my mom, and I feel like I'm depressed",I feel guilty about my fathers death,How do I find happiness after my boyfriend passed away?,,"Y'know, to see soemeone you've loved and care for pass on must make you want to cry. And, may I say to you, if you need to mourn, take about a week or so and mourn like your life depended on it.And then, after about a week or so, it will help greatly.",I am so sorry to hear about your loss. They must have been very special to you and it definitely makes sense that you are having a hard time with it. A possibility is a support group for bereavement and loss. Many are free.Â I wish you the best towards healing your heart.,"Death and grief bring up so many painful reminders of relationships--what they could have been, never were, and what was lost. Please take some time to yourself to recope with it.",,,,,,,,
